breakdown:gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed,"dram__cycles_active.sum.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed,lts__d_sectors.sum.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.sum.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.sum.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.sum.pct_of_peak_sustained_elapsed,lts__t_sectors.sum.pct_of_peak_sustained_elapsed,lts__t_tag_requests.sum.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.sum.pct_of_peak_sustained_elapsed"
breakdown:sm__throughput.avg.pct_of_peak_sustained_elapsed,"idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__instruction_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__memory_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_op_dmma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_type_hmma_hgmma_qgmma_imma_igmma_bmma_bgmma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tma_cycles_active.avg.pct_of_peak_sustained_elapsed"
breakdown:sm__throughput.max.pct_of_peak_sustained_elapsed,"idc__request_cycles_active.max.pct_of_peak_sustained_elapsed,sm__inst_executed.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_cbu_pred_on_any.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_ipa.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_tex.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_uniform.max.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,sm__instruction_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,sm__issue_active.max.pct_of_peak_sustained_elapsed,sm__memory_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.max.pct_of_peak_sustained_elapsed,sm__mio_inst_issued.max.pct_of_peak_sustained_elapsed,sm__mio_pq_read_cycles_active.max.pct_of_peak_sustained_elapsed,sm__mio_pq_write_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_fmaheavy_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_tensor_op_dmma_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_tensor_type_hmma_hgmma_qgmma_imma_igmma_bmma_bgmma_cycles_active.max.pct_of_peak_sustained_elapsed,sm__pipe_tma_cycles_active.max.pct_of_peak_sustained_elapsed"
breakdown:sm__throughput.min.pct_of_peak_sustained_elapsed,"idc__request_cycles_active.min.pct_of_peak_sustained_elapsed,sm__inst_executed.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_cbu_pred_on_any.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_ipa.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_tex.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_uniform.min.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,sm__instruction_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,sm__issue_active.min.pct_of_peak_sustained_elapsed,sm__memory_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.min.pct_of_peak_sustained_elapsed,sm__mio_inst_issued.min.pct_of_peak_sustained_elapsed,sm__mio_pq_read_cycles_active.min.pct_of_peak_sustained_elapsed,sm__mio_pq_write_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_fmaheavy_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_tensor_op_dmma_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_tensor_type_hmma_hgmma_qgmma_imma_igmma_bmma_bgmma_cycles_active.min.pct_of_peak_sustained_elapsed,sm__pipe_tma_cycles_active.min.pct_of_peak_sustained_elapsed"
breakdown:sm__throughput.sum.pct_of_peak_sustained_elapsed,"idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__inst_executed.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_cbu_pred_on_any.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_ipa.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_tex.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_uniform.sum.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,sm__instruction_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,sm__issue_active.sum.pct_of_peak_sustained_elapsed,sm__memory_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.sum.pct_of_peak_sustained_elapsed,sm__mio_inst_issued.sum.pct_of_peak_sustained_elapsed,sm__mio_pq_read_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__mio_pq_write_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_fmaheavy_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_tensor_op_dmma_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_tensor_type_hmma_hgmma_qgmma_imma_igmma_bmma_bgmma_cycles_active.sum.pct_of_peak_sustained_elapsed,sm__pipe_tma_cycles_active.sum.pct_of_peak_sustained_elapsed"
c2clink__enabled_mask,0 {8}
c2clink__present,0 {8}
derived__avg_thread_executed [thread],27770 {929}
derived__avg_thread_executed_true [thread],27030 {929}
derived__memory_l1_conflicts_shared_nway,66 {21}
